,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Izmir-142,-0.6523670095331686,0.08705851020376211,-0.16678441769093988,-0.32397866189977875,-0.32531951366351164,-0.1033490667746444,0.021936424476074863,-0.018117824483376864,-0.027752425262597503,0.18059172297866757,-0.11270381445082188,-0.044114677614905805,0.05705907934971128,0.05568257242382364,0.0025538251276544578
Miltiadous-37,1.1454516399968797,0.9942234688957553,0.7277594025163641,-0.5176130552670622,-0.17950204523140117,-0.3309874991053143,0.4800026582796735,-0.10239120787183764,0.3604393800371391,-0.055849193920685984,-0.012664829450283303,0.04925133337917463,0.22230119967334985,0.05556409028221346,0.016272288209225147
Istambul-falmozb1,0.9977112332127834,0.1337998205487361,1.479851337912634,0.9580356432492785,-0.8877193320841311,0.24989510637570345,-0.477920960869708,0.26979553069608964,-0.12284954866975027,-0.35454248867763083,-0.015935716471564,-0.3196724399673396,-0.22783254505449685,0.238640953673542,-0.07996270084469755
Istambul-falserg1,-0.05034374460183296,0.9940253307430418,0.7820495607776866,-0.11098835230281211,0.09647697715829892,0.2395889457545075,0.03273410244591196,0.14018483599606027,-0.01237858989829909,-0.09879390843224813,0.15593509365968833,0.20795817746898762,0.039116532817114996,-0.18436713682051784,-0.03485737242213305
Izmir-31,0.24819742469919873,1.0382123867483426,-0.15102203651736373,0.2891562049840152,0.3988464521568275,0.2581405809381913,-0.24971661523953026,0.11525546157081876,0.14769854290289033,-0.21766949923962003,-0.3172301613486569,0.21516682730713022,0.0862787152094702,-0.004740865178622829,0.016098863834680142
Miltiadous-58,1.0705708943479877,-0.8178507672397318,-0.180345029054465,-0.1375483707109443,-0.08855010678652436,-0.40925741535219007,-0.1532819428476168,-0.21440386298884243,0.00025211736430383607,-0.1065130792364421,0.06508749146285478,0.09268115957637424,-0.06472743910197136,-0.014543071673014137,0.1263813518883087
Newcastle-68,-0.4580804073820735,0.045182540971005616,0.4881164912230524,0.17408856613469803,0.1837238823515512,-0.12427395117691811,-0.06341236757068774,-0.2842294265288261,-0.1262532781189934,-0.07687341661780597,-0.060711443207376405,0.13002989476288387,0.0324706549475834,-0.09281544302110774,-0.052054074204315536
Miltiadous-7,-0.9102945254077388,0.9820606772032812,0.38123428467891235,-0.0807183030222026,0.20923178946589738,0.12945525875233183,-0.191604041731552,0.12161691594337314,0.0739491826766832,-0.15151087561290083,-0.004427072846742304,0.060558529280970365,0.017476344212645514,0.07401092055380912,0.07209172506842468
Izmir-24,-0.160428973513577,1.5709787891738423,-0.5948286557958292,-0.3715832705169808,0.2030279476829661,0.4157470257218058,-0.47423561424235644,0.3565773852920953,0.08618397937609203,-0.15657244844402704,-0.27417628061408406,0.08646468779524051,0.06058940468198869,0.020340615473143336,-0.13751298318299568
Istambul-frekakt1,1.0293366875232954,-0.9597035009453774,0.19772664104710738,-0.08862293267262146,0.05853354240931422,0.004577880728594076,-0.30014023847351445,-0.26524790830127165,-0.15329487757131782,0.14043586311828157,-0.15376035811343003,-0.03870380671117919,-0.015073467973030052,0.11581967387546058,-0.008851400725369463
Istambul-pcgul1,0.35654011510667116,0.7006743236491733,-0.6944731361982005,0.20394708313769044,-0.12033521739132773,0.3416866804213712,-0.21636221944239073,0.06534500803290896,-0.08440883286522405,-0.03885329500678872,0.03416869296257475,-0.17178387899110434,0.06375814296970253,-0.14398807499320668,0.07978293307394943
Newcastle-102,-0.6874050796843264,0.27555143692033557,0.3128137627940941,-0.4036366137699786,0.2400554558961968,-0.24471372910656525,-0.10174760527162086,-0.07732015230367065,0.1978731493029919,0.13182659254805576,-0.12681375295101058,-0.18415167587861528,0.037405350937025,0.01424567266480866,0.0877410116830702
Newcastle-54,-1.198433875237557,-0.3934336757484399,-0.02578954796591587,0.20882114793011639,0.018923465432015743,0.030961166681962866,-0.10007931852970657,0.35991749622390956,-0.06161921936837211,-0.15028726593088307,-0.25288191741019933,-0.004757142701062624,0.17805848657836212,0.2271133332978676,-0.03842285549752722
BrainLat:AR-sub-30012,-0.5274164931933584,-0.6341829666404349,0.22653978201284508,0.6197270851531971,-0.13715614759429853,-0.011697215667749394,-0.23777842303011237,-0.23824116031987788,-0.2631877766461332,0.1778888814417621,-0.12057994017363294,0.09700937079027892,-0.0016405104180516974,-0.04208937973747799,0.0190085617209257
Istambul-pssen1,0.4625400236965062,-0.07233268261811364,0.378716598640209,0.04069341639187994,-0.04405633993929112,-0.5406392542427357,-0.22828257612913608,0.22443673176653872,-0.13906516227267995,-0.13613635263795662,-0.09961352031449568,0.1347721765163793,-0.2111324276924906,0.06503732046226629,-0.053623428183406534
Newcastle-100,0.9022127431361097,0.2814975181299054,0.1708447092765681,0.17759173463175593,0.2031981303725055,0.1784714882825282,0.5426478628559093,-0.02518610417067268,0.09406180810328568,-0.06194623252595366,0.07952148399477862,0.17904228112185522,0.04952372877694422,-0.21254248529585373,0.09548684194001664
Miltiadous-11,-0.03013622146228331,0.6997518689215011,-0.6358949902726233,0.026651341431396174,0.7044465073311291,0.1669447853148131,0.3375593292940874,-0.01692102880485461,0.10734720733296145,0.19021324455622526,0.09718123357549449,-0.06472133421589465,-0.15790629189325456,-0.11785397761196663,0.015362837639234487
Izmir-124,-0.31573399734605706,-0.510188428952071,0.35886852628113636,-0.09321949305377708,0.05895100267477193,0.07901853217023146,-0.03782420374391947,0.029269674172806234,-0.060620338391151996,0.08502710930356103,-0.1038950268284679,0.028129155129338872,0.08450185913723395,-0.1384090926785624,0.10371273753797615
Miltiadous-29,-1.029914992960098,0.9273465180818631,-0.05405068766727181,-0.08644973320026175,-0.04610457292188978,0.293599134531817,-0.4254304486346507,0.08293350373436971,0.08023814910825301,-0.12883240534929852,-0.125949586312988,0.11132656296273455,0.18214352272496478,0.23366969541815932,0.06256691251992781
Istambul-psgul1,0.63952143976887,-0.1785322693505546,0.12277982952172896,0.35356868225590804,-0.1831536405652788,-0.15822783661283868,0.10227872142659945,-0.17997199326912278,-0.2864017780495607,-0.10782861200643343,-0.18332326136142915,0.2623350048101794,0.06443620881606932,0.1236204854800302,-0.037148618503374475
BrainLat:AR-sub-30015,-0.7041488580685857,-0.5786200804942778,0.0014907196674408066,-0.007065233380160957,-0.26410684405254264,0.090097101700862,-0.006869998351065199,0.01490062979590972,0.05605255981924396,0.02877606766320473,-0.14365031452896415,-0.10901677669141323,-0.0662655952447671,-0.044356961979514685,-0.10425541590279695
Istambul-falzbil1,0.8428129161945955,0.7490668886334777,-0.22720621277997108,-0.492043582224859,0.02329271664996239,0.11129192204208394,0.04953101045437323,-0.017652447257875778,0.0019286491700754118,-0.1552155907865815,0.14024213017614962,-0.08802344873624,0.18119936192634342,-0.061376695778604176,0.048348051818699646
Istambul-fmcimtas1,-0.3456986310574551,0.2710567717888296,0.46023107880840747,-0.16218182110254808,0.7146477647283247,-0.8648564124713592,0.6787484484236448,0.1678450658899854,-0.16538335388998332,-0.23678536746099904,0.17176722918191706,0.13482911815698734,0.15658521229113387,-0.02027980160406637,0.00027945170298530983
Newcastle-70,-0.9458015366351744,-1.47736106006852,-0.6224158325688732,0.5863185470460777,0.20768344107701014,-0.24629559580137747,-0.16778681308505056,-0.1372710131468297,0.29587918379279743,-0.11480374643970634,0.1857228929653563,0.011823224973121344,-0.006408720130991538,0.05815584837739824,0.03874312316929886
Istambul-falyedi1,-1.320932719053235,-0.4063607514052915,0.45473430449318863,0.11756593659660429,0.10457116853284254,-0.0031756586733957147,0.002895471355845214,0.06673097775768701,-0.347554459901937,0.07018054939107062,-0.11098960105717696,0.01339340983997507,-0.05584493015691456,-0.06554259999340324,-0.048365611659504856
BrainLat:CL-sub-30003,-0.9477213237349338,-1.4582027102341686,-0.15052229344976925,0.44267700936634746,0.33644454811674995,-0.08667987758368409,-0.13948116845223132,-0.059054946192126936,0.14387181664100965,-0.1822947563114516,0.13902481756443794,-0.042428207184135674,0.022861793891279642,-0.003501643836014826,0.02616415366879043
BrainLat:AR-sub-30004,-0.7238027531324778,0.5556991032278964,0.24676731395310145,-0.06581978904313979,-0.726383179283908,0.08064986687036407,0.04839863188862326,0.05252127684721946,-0.07824590216947684,0.0030163924159442522,0.13958530084044152,-0.007334389259598323,-0.005332186314797754,0.09274979328015107,-0.19524569601691577
Newcastle-104,-1.4737157149456335,-1.1252084754714315,-0.1245719209856309,0.2767893975341283,-0.06213982410203745,0.19778141174741376,0.12395135911513648,0.08620385132046728,0.034665772353655665,-0.07293222178218448,0.0989864031559526,0.07242322501430434,-0.09290397577206336,-0.028500904622730826,-0.013229636878371129
Izmir-52,-0.4248151892332381,-0.34419787102827876,0.5285746503090386,-0.015602815283291773,-0.06940272931535973,-0.14943192780563028,-0.12533616677732642,-0.2389657369302993,-0.14181415709233758,0.23761820245297166,-0.03649294587156423,0.190885683560753,0.014019931816490005,-0.19495325261620697,0.09520286735093877
Miltiadous-3,2.0742996014349826,1.0566280353184405,0.566966390025929,-0.5226622478024722,0.057360005261076145,-0.2352189968795451,-0.21129264897315275,0.253337057881671,0.20006330057838975,-0.18535561123744929,0.057283766538757504,0.044240082818683295,0.012874074957074865,0.09979106303808302,0.07258836689940822
Miltiadous-63,0.12129856189729973,-0.5784242931936445,-0.0038677159834815894,-0.1314876869707969,0.4816597042458565,0.026961961152019293,-0.12540465342368268,-0.36848160172890926,-0.08685501607814505,-0.06696465946627395,-0.02707311278199836,-0.051197159870370094,0.0495131324266065,-0.05427551910096735,-0.09246151143143413
Istambul-falgdon1,-1.0038717660803778,0.6726735371059344,-0.3044728573775833,-0.11987654702245326,-0.2310104886056771,-0.15247566377888214,0.026527589782496686,0.06957482799737791,0.16558648849941948,0.006511714201031363,-0.2177393307936204,-0.1496553994544336,-0.03434594067666994,-0.10530853212954289,0.07792931179115682
Istambul-phber1,-1.34576188042413,0.34693347160578875,0.42777556841930475,-0.3724296609796307,-0.08206206860683987,0.022308694820877106,0.004119601628845934,-0.1552237660203443,0.01298635673914688,-0.03824578437089445,0.1803832754736168,-0.02222862167926307,-0.14156089921429135,0.10404738575185526,-0.0713570247761996
Izmir-116,-0.3765361268648295,-0.8064699024325757,-0.3552657200179138,0.2444099299577271,-0.22317910082362927,-0.4429442160220143,-0.15585536508888037,0.059504534787285485,0.181997085949382,-0.03279919797136775,-0.05954855241852237,0.15340413041342127,-0.050795565138702446,-0.044415156349771855,-0.06894161784435329
Izmir-143,-0.5535128118399617,-0.7432145212431376,0.12370944252110197,-0.3366056409188072,-0.04927475987840228,0.058404852614280064,-0.004620506066978492,0.2138034198873357,-0.1298014630993523,-0.0872839476209062,-0.02949439562199696,-0.14306114239421286,-0.023029159156863762,0.003963751401919783,0.021784917935765907
Miltiadous-39,1.859255473078801,-0.13250026900981762,0.4600676901530348,0.06372812569597183,-0.5648748836021315,-0.028256569987438373,0.24169609458074703,0.02808360003045093,0.14501038493157603,-0.03873444565055848,-0.15663559884284278,0.05252741409680319,-0.10525665128254437,0.01100679373099662,-0.11231916995362115
